Timestamp,Type,Tier,Symbol,Strike,Qty,Price,StopLoss,Target1,Target2,InvestedCapital,PnL,Reasoning
"20/8/2026, 1:31:00 pm","CALL_BUY","SNIPER","NSE:NIFTY2682024250CE","24250",25,100.00,91.25,134.50,169.01,2500.00,,"[SNIPER TIER] Bullish ORB Breakout above 24212.75. Score: 90/100. [Greeks Delta: 0.51, SL=8.8, T1=+34.5, T2=+69.0]"
"20/8/2026, 1:33:10 pm","CALL_BUY","EXPLORATORY","NSE:NIFTY2682024250CE","24250",25,100.00,91.32,134.07,168.15,2500.00,,"[EXPLORATORY TIER] Bullish ORB Breakout above 24212.75. Score: 0/100. [Greeks Delta: 0.51, SL=8.7, T1=+34.1, T2=+68.1]"
"20/8/2026, 1:43:00 pm","THETA_EXIT","SNIPER","NSE:NIFTY2682024250CE","24250",25,115.88,,,,2897.00,397.00,"[SNIPER TIER] Option premium decay warning. Sideways chop > 12 minutes."
"20/8/2026, 1:43:01 pm","CALL_BUY","SNIPER","NSE:NIFTY2682024250CE","24250",25,100.00,91.66,133.61,167.22,2500.00,,"[SNIPER TIER] Bullish ORB Breakout above 24212.75. Score: 90/100. [Greeks Delta: 0.50, SL=8.3, T1=+33.6, T2=+67.2]"
"20/8/2026, 1:45:10 pm","THETA_EXIT","EXPLORATORY","NSE:NIFTY2682024250CE","24250",25,117.05,,,,2926.25,426.25,"[EXPLORATORY TIER] Option premium decay warning. Sideways chop > 12 minutes."
"20/8/2026, 1:45:29 pm","CALL_BUY","EXPLORATORY","NSE:NIFTY2682024250CE","24250",25,100.00,91.94,133.32,166.65,2500.00,,"[EXPLORATORY TIER] Bullish ORB Breakout above 24212.75. Score: 0/100. [Greeks Delta: 0.50, SL=8.1, T1=+33.3, T2=+66.6]"
"20/8/2026, 1:55:02 pm","THETA_EXIT","SNIPER","NSE:NIFTY2682024250CE","24250",25,113.13,,,,2828.25,328.25,"[SNIPER TIER] Option premium decay warning. Sideways chop > 12 minutes."
"20/8/2026, 1:55:25 pm","CALL_BUY","SNIPER","NSE:NIFTY2682024250CE","24250",25,100.00,92.50,131.98,163.97,2500.00,,"[SNIPER TIER] Bullish ORB Breakout above 24212.75. Score: 75/100. [Greeks Delta: 0.47, SL=7.5, T1=+32.0, T2=+64.0]"
"20/8/2026, 1:57:30 pm","THETA_EXIT","EXPLORATORY","NSE:NIFTY2682024250CE","24250",25,112.95,,,,2823.75,323.75,"[EXPLORATORY TIER] Option premium decay warning. Sideways chop > 12 minutes."
"20/8/2026, 1:58:02 pm","CALL_BUY","EXPLORATORY","NSE:NIFTY2682024250CE","24250",25,100.00,92.31,132.25,164.49,2500.00,,"[EXPLORATORY TIER] Bullish ORB Breakout above 24212.75. Score: 0/100. [Greeks Delta: 0.48, SL=7.7, T1=+32.2, T2=+64.5]"
"20/8/2026, 2:07:25 pm","THETA_EXIT","SNIPER","NSE:NIFTY2682024250CE","24250",25,109.98,,,,2749.50,249.50,"[SNIPER TIER] Option premium decay warning. Sideways chop > 12 minutes."
"20/8/2026, 2:07:26 pm","CALL_BUY","SNIPER","NSE:NIFTY2682024250CE","24250",25,100.00,92.72,136.15,172.30,2500.00,,"[SNIPER TIER] Bullish ORB Breakout above 24212.75. Score: 90/100. [Greeks Delta: 0.46, SL=7.3, T1=+36.1, T2=+72.3]"
"20/8/2026, 2:10:02 pm","THETA_EXIT","EXPLORATORY","NSE:NIFTY2682024250CE","24250",25,112.33,,,,2808.25,308.25,"[EXPLORATORY TIER] Option premium decay warning. Sideways chop > 12 minutes."
"20/8/2026, 2:10:18 pm","CALL_BUY","EXPLORATORY","NSE:NIFTY2682024250CE","24250",25,100.00,92.76,136.39,172.78,2500.00,,"[EXPLORATORY TIER] Bullish ORB Breakout above 24212.75. Score: 0/100. [Greeks Delta: 0.47, SL=7.2, T1=+36.4, T2=+72.8]"
"20/8/2026, 2:19:27 pm","THETA_EXIT","SNIPER","NSE:NIFTY2682024250CE","24250",25,111.48,,,,2787.00,287.00,"[SNIPER TIER] Option premium decay warning. Sideways chop > 12 minutes."
"20/8/2026, 2:19:28 pm","CALL_BUY","SNIPER","NSE:NIFTY2682024250CE","24250",25,100.00,92.22,136.46,172.91,2500.00,,"[SNIPER TIER] Bullish ORB Breakout above 24212.75. Score: 90/100. [Greeks Delta: 0.47, SL=7.8, T1=+36.5, T2=+72.9]"
"20/8/2026, 2:22:18 pm","THETA_EXIT","EXPLORATORY","NSE:NIFTY2682024250CE","24250",25,112.05,,,,2801.25,301.25,"[EXPLORATORY TIER] Option premium decay warning. Sideways chop > 12 minutes."
"20/8/2026, 2:22:28 pm","CALL_BUY","EXPLORATORY","NSE:NIFTY2682024250CE","24250",25,100.00,92.25,136.65,173.31,2500.00,,"[EXPLORATORY TIER] Bullish ORB Breakout above 24212.75. Score: 0/100. [Greeks Delta: 0.47, SL=7.7, T1=+36.7, T2=+73.3]"
"20/8/2026, 2:31:28 pm","THETA_EXIT","SNIPER","NSE:NIFTY2682024250CE","24250",25,115.08,,,,2877.00,377.00,"[SNIPER TIER] Option premium decay warning. Sideways chop > 12 minutes."
"20/8/2026, 2:34:28 pm","THETA_EXIT","EXPLORATORY","NSE:NIFTY2682024250CE","24250",25,114.98,,,,2874.50,374.50,"[EXPLORATORY TIER] Option premium decay warning. Sideways chop > 12 minutes."
